,Index,P-Value,RSquared
132,Period,9.568228706600151e-05,0.3329877306956352
133,Comma,0.341956867935563,-0.08336230424336437
134,Colon,4.475893179771778e-08,-0.4542571209923234
135,SemiC,0.007281015717419552,-0.2325867309725122
136,QMark,0.20689761954248856,-0.11056985220822471
137,Exclam,0.011466206649166302,-0.21944618052722153
138,Dash,1.550304154036422e-13,-0.5860873955718996
139,Quote,0.00029702039319106163,0.3100488070089997
140,Apostro,0.05044995495935886,0.17063132957731722
141,Parenth,1.0,
142,OtherP,0.08913145968235248,-0.14855651040186227
143,Nouns,0.012722358114605422,-0.21633591980851835
144,Nouns/100,0.012722358114605422,-0.21633591980851827
145,NounsNormalised,0.7931679735030034,-0.023037585727625057
146,Adjectives,0.023011847171365254,-0.1977823513672095
147,Adjectives/100,0.023011847171365254,-0.1977823513672095
148,AdjectivesNormalised,0.3672699927521689,0.07910341903629713
149,Adverbs,0.018120960099246516,-0.20543968132567783
150,Adverbs/100,0.018120960099246516,-0.2054396813256778
151,AdverbsNormalised,0.9424417187965491,0.006344597552637632
152,Verbs,0.03952521214970588,-0.17943445467254326
153,Verbs/100,0.03952521214970588,-0.17943445467254326
154,VerbsNormalised,0.007094699005903686,0.23331612426786516
155,Pronouns,0.03165527934294788,-0.18714783074131505
156,PronounsNormalised,0.13154324261499228,0.13193876788195802
157,UniqueWordsNormalised,1.0,
