,Filename,TTR,WordCount,UniqueWords,MLU,Fillers,NSNouns,LIVerbs,$,'',",",.,:,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,``,SYM,FW,WP$,Segment_x,WC_x,Analytic_x,Clout_x,Authentic_x,Tone_x,WPS_x,Sixltr_x,Dic_x,function_x,pronoun_x,ppron_x,i_x,we_x,you_x,shehe_x,they_x,ipron_x,article_x,prep_x,auxverb_x,adverb_x,conj_x,negate_x,verb_x,adj_x,compare_x,interrog_x,number_x,quant_x,affect_x,posemo_x,negemo_x,anx_x,anger_x,sad_x,social_x,family_x,friend_x,female_x,male_x,cogproc_x,insight_x,cause_x,discrep_x,tentat_x,certain_x,differ_x,percept_x,see_x,hear_x,feel_x,bio_x,body_x,health_x,sexual_x,ingest_x,drives_x,affiliation_x,achieve_x,power_x,reward_x,risk_x,focuspast_x,focuspresent_x,focusfuture_x,relativ_x,motion_x,space_x,time_x,work_x,leisure_x,home_x,money_x,relig_x,death_x,informal_x,swear_x,netspeak_x,assent_x,nonflu_x,filler_x,AllPunc_x,Period_x,Comma_x,Colon_x,SemiC_x,QMark_x,Exclam_x,Dash_x,Quote_x,Apostro_x,Parenth_x,OtherP_x,Segment_y,WC_y,Analytic_y,Clout_y,Authentic_y,Tone_y,WPS_y,Sixltr_y,Dic_y,function_y,pronoun_y,ppron_y,i_y,we_y,you_y,shehe_y,they_y,ipron_y,article_y,prep_y,auxverb_y,adverb_y,conj_y,negate_y,verb_y,adj_y,compare_y,interrog_y,number_y,quant_y,affect_y,posemo_y,negemo_y,anx_y,anger_y,sad_y,social_y,family_y,friend_y,female_y,male_y,cogproc_y,insight_y,cause_y,discrep_y,tentat_y,certain_y,differ_y,percept_y,see_y,hear_y,feel_y,bio_y,body_y,health_y,sexual_y,ingest_y,drives_y,affiliation_y,achieve_y,power_y,reward_y,risk_y,focuspast_y,focuspresent_y,focusfuture_y,relativ_y,motion_y,space_y,time_y,work_y,leisure_y,home_y,money_y,relig_y,death_y,informal_y,swear_y,netspeak_y,assent_y,nonflu_y,filler_y,AllPunc_y,Period_y,Comma_y,Colon_y,SemiC_y,QMark_y,Exclam_y,Dash_y,Quote_y,Apostro_y,Parenth_y,OtherP_y
73,Bush - Speech38 - Edited.txt,0.22965412004069177,3932.0,903.0,17.171206225680933,18.0,9.0,152.0,0.0,1.0,218.0,257.0,62.0,187.0,23.0,413.0,27.0,428.0,167.0,9.0,2.0,76.0,396.0,159.0,5.0,134.0,3.0,5.0,446.0,28.0,280.0,5.0,0.0,25.0,125.0,10.0,219.0,71.0,97.0,65.0,287.0,109.0,23.0,27.0,21.0,1.0,0.0,2.0,0.0,1,3685,37.16,51.09,72.94,61.8,14.34,16.82,90.39,60.68,18.78,10.99,5.94,2.52,1.28,0.62,0.62,7.79,6.87,14.08,11.18,6.32,7.44,2.77,21.76,3.34,1.68,1.63,0.71,2.23,4.53,3.04,1.14,0.03,0.3,0.19,9.34,0.03,0.05,0.03,0.76,14.71,4.1,1.25,2.01,3.28,1.14,4.15,1.76,0.71,0.62,0.38,0.43,0.22,0.05,0.0,0.16,9.2,3.2,1.36,2.66,1.93,0.6,3.34,15.96,2.2,13.11,2.55,7.65,3.23,2.63,0.38,0.11,0.79,0.05,0.03,0.71,0.0,0.0,0.33,0.33,0.0,20.62,6.49,5.92,0.33,0.19,0.65,0.03,1.55,0.05,5.26,0.0,0.16,1,3685,37.16,51.09,72.94,61.8,14.34,16.82,90.39,60.68,18.78,10.99,5.94,2.52,1.28,0.62,0.62,7.79,6.87,14.08,11.18,6.32,7.44,2.77,21.76,3.34,1.68,1.63,0.71,2.23,4.53,3.04,1.14,0.03,0.3,0.19,9.34,0.03,0.05,0.03,0.76,14.71,4.1,1.25,2.01,3.28,1.14,4.15,1.76,0.71,0.62,0.38,0.43,0.22,0.05,0.0,0.16,9.2,3.2,1.36,2.66,1.93,0.6,3.34,15.96,2.2,13.11,2.55,7.65,3.23,2.63,0.38,0.11,0.79,0.05,0.03,0.71,0.0,0.0,0.33,0.33,0.0,20.62,6.49,5.92,0.33,0.19,0.65,0.03,1.55,0.05,5.26,0.0,0.16
74,Bush - Speech98 - Edited.txt,0.2318878900052882,3782.0,877.0,16.234615384615385,18.0,18.0,154.0,0.0,3.0,179.0,259.0,32.0,146.0,31.0,370.0,28.0,418.0,173.0,17.0,6.0,92.0,383.0,111.0,10.0,146.0,5.0,4.0,404.0,25.0,278.0,7.0,0.0,17.0,129.0,7.0,262.0,55.0,102.0,71.0,250.0,120.0,27.0,27.0,22.0,3.0,0.0,1.0,1.0,1,3553,33.88,44.52,57.78,65.24,13.61,17.11,91.36,60.37,18.44,9.79,6.05,1.52,1.18,0.28,0.76,8.64,6.61,14.1,12.83,6.98,6.95,2.28,22.46,3.72,2.34,1.63,1.01,2.14,4.9,3.43,1.35,0.28,0.31,0.39,7.82,0.03,0.03,0.03,0.34,14.47,3.26,1.66,2.34,3.21,1.97,3.57,2.22,1.1,0.62,0.37,0.39,0.11,0.17,0.0,0.11,9.32,2.39,1.55,3.69,2.14,0.7,2.93,16.27,1.69,11.91,2.2,6.75,3.21,3.97,0.2,0.34,1.35,0.08,0.03,0.62,0.0,0.06,0.31,0.23,0.0,19.03,7.4,5.07,0.03,0.14,0.17,0.0,0.73,0.17,5.24,0.0,0.08,1,3553,33.88,44.52,57.78,65.24,13.61,17.11,91.36,60.37,18.44,9.79,6.05,1.52,1.18,0.28,0.76,8.64,6.61,14.1,12.83,6.98,6.95,2.28,22.46,3.72,2.34,1.63,1.01,2.14,4.9,3.43,1.35,0.28,0.31,0.39,7.82,0.03,0.03,0.03,0.34,14.47,3.26,1.66,2.34,3.21,1.97,3.57,2.22,1.1,0.62,0.37,0.39,0.11,0.17,0.0,0.11,9.32,2.39,1.55,3.69,2.14,0.7,2.93,16.27,1.69,11.91,2.2,6.75,3.21,3.97,0.2,0.34,1.35,0.08,0.03,0.62,0.0,0.06,0.31,0.23,0.0,19.03,7.4,5.07,0.03,0.14,0.17,0.0,0.73,0.17,5.24,0.0,0.08
75,Bush - Speech33 - Edited.txt,0.22453016815034618,4044.0,908.0,18.6597510373444,26.0,5.0,178.0,0.0,1.0,206.0,241.0,60.0,167.0,25.0,435.0,18.0,418.0,183.0,12.0,3.0,112.0,372.0,156.0,22.0,164.0,7.0,6.0,435.0,39.0,312.0,6.0,3.0,13.0,127.0,5.0,260.0,76.0,70.0,82.0,257.0,123.0,29.0,36.0,15.0,1.0,0.0,0.0,0.0,1,3812,31.42,55.42,53.06,79.0,15.75,16.58,87.93,59.26,19.44,10.7,5.25,2.83,1.0,0.73,0.89,8.74,6.61,12.22,12.25,5.46,6.93,2.49,22.01,2.41,1.26,1.57,1.05,2.91,4.98,3.93,1.02,0.13,0.18,0.08,9.26,0.13,0.16,0.08,0.87,16.42,3.99,1.84,2.91,3.65,2.05,3.96,2.47,1.15,0.79,0.34,0.08,0.08,0.0,0.0,0.0,8.6,3.86,0.92,1.97,1.6,0.71,3.57,15.53,2.1,11.91,2.23,7.27,2.73,1.63,0.08,0.08,0.47,0.05,0.0,0.92,0.03,0.03,0.18,0.66,0.03,19.41,6.74,5.48,0.18,0.18,0.29,0.0,1.47,0.05,4.91,0.0,0.1,1,3812,31.42,55.42,53.06,79.0,15.75,16.58,87.93,59.26,19.44,10.7,5.25,2.83,1.0,0.73,0.89,8.74,6.61,12.22,12.25,5.46,6.93,2.49,22.01,2.41,1.26,1.57,1.05,2.91,4.98,3.93,1.02,0.13,0.18,0.08,9.26,0.13,0.16,0.08,0.87,16.42,3.99,1.84,2.91,3.65,2.05,3.96,2.47,1.15,0.79,0.34,0.08,0.08,0.0,0.0,0.0,8.6,3.86,0.92,1.97,1.6,0.71,3.57,15.53,2.1,11.91,2.23,7.27,2.73,1.63,0.08,0.08,0.47,0.05,0.0,0.92,0.03,0.03,0.18,0.66,0.03,19.41,6.74,5.48,0.18,0.18,0.29,0.0,1.47,0.05,4.91,0.0,0.1
76,Bush - Speech68 - Edited.txt,0.28540540540540543,1850.0,528.0,19.815533980582526,10.0,3.0,54.0,0.0,0.0,88.0,103.0,25.0,66.0,2.0,200.0,19.0,215.0,86.0,1.0,4.0,46.0,194.0,73.0,8.0,52.0,2.0,1.0,169.0,17.0,127.0,7.0,1.0,7.0,71.0,1.0,111.0,27.0,48.0,45.0,107.0,67.0,21.0,19.0,10.0,1.0,0.0,0.0,0.0,1,1766,35.47,53.4,64.42,23.98,16.98,16.25,90.66,61.83,19.2,9.06,4.02,1.87,0.85,1.25,1.08,10.14,6.29,14.04,12.97,5.95,6.0,2.38,19.93,2.83,1.53,1.76,0.11,2.83,5.27,2.55,2.66,0.45,1.36,0.11,8.95,0.0,0.11,0.0,1.47,15.18,3.79,1.3,1.36,2.89,2.15,4.42,2.1,0.74,0.91,0.4,0.51,0.11,0.23,0.0,0.17,8.55,2.49,1.87,3.45,0.68,1.08,3.0,14.61,2.1,13.59,1.93,8.38,3.17,1.19,0.17,0.11,0.17,0.06,0.17,0.68,0.0,0.06,0.06,0.57,0.0,16.08,5.72,4.98,0.0,0.06,0.23,0.0,1.53,0.0,3.51,0.0,0.06,1,1766,35.47,53.4,64.42,23.98,16.98,16.25,90.66,61.83,19.2,9.06,4.02,1.87,0.85,1.25,1.08,10.14,6.29,14.04,12.97,5.95,6.0,2.38,19.93,2.83,1.53,1.76,0.11,2.83,5.27,2.55,2.66,0.45,1.36,0.11,8.95,0.0,0.11,0.0,1.47,15.18,3.79,1.3,1.36,2.89,2.15,4.42,2.1,0.74,0.91,0.4,0.51,0.11,0.23,0.0,0.17,8.55,2.49,1.87,3.45,0.68,1.08,3.0,14.61,2.1,13.59,1.93,8.38,3.17,1.19,0.17,0.11,0.17,0.06,0.17,0.68,0.0,0.06,0.06,0.57,0.0,16.08,5.72,4.98,0.0,0.06,0.23,0.0,1.53,0.0,3.51,0.0,0.06
77,Bush - Speech79 - Edited.txt,0.494140625,512.0,253.0,15.45945945945946,1.0,0.0,16.0,0.0,0.0,22.0,37.0,2.0,20.0,4.0,50.0,5.0,60.0,19.0,1.0,0.0,15.0,48.0,37.0,1.0,20.0,0.0,3.0,52.0,8.0,28.0,0.0,1.0,2.0,21.0,2.0,32.0,23.0,6.0,9.0,24.0,10.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,1,491,54.55,66.56,57.92,36.52,13.27,15.89,87.58,57.84,17.52,10.18,4.89,2.85,0.81,0.2,1.43,7.33,6.52,15.27,10.79,4.89,6.11,1.83,19.96,3.67,2.04,1.83,0.81,2.44,5.09,2.65,2.04,0.0,1.02,0.81,9.37,0.2,0.0,0.0,0.41,11.2,3.67,0.81,1.83,2.04,2.44,2.04,2.24,0.81,0.81,0.2,0.41,0.0,0.0,0.2,0.2,10.18,4.28,1.83,3.05,1.63,0.0,4.68,11.2,1.22,13.65,2.04,8.55,3.46,2.04,0.41,0.2,0.81,0.0,0.2,0.81,0.0,0.0,0.81,0.0,0.0,17.31,7.94,4.48,0.2,0.0,0.41,0.0,0.2,0.0,4.07,0.0,0.0,1,491,54.55,66.56,57.92,36.52,13.27,15.89,87.58,57.84,17.52,10.18,4.89,2.85,0.81,0.2,1.43,7.33,6.52,15.27,10.79,4.89,6.11,1.83,19.96,3.67,2.04,1.83,0.81,2.44,5.09,2.65,2.04,0.0,1.02,0.81,9.37,0.2,0.0,0.0,0.41,11.2,3.67,0.81,1.83,2.04,2.44,2.04,2.24,0.81,0.81,0.2,0.41,0.0,0.0,0.2,0.2,10.18,4.28,1.83,3.05,1.63,0.0,4.68,11.2,1.22,13.65,2.04,8.55,3.46,2.04,0.41,0.2,0.81,0.0,0.2,0.81,0.0,0.0,0.81,0.0,0.0,17.31,7.94,4.48,0.2,0.0,0.41,0.0,0.2,0.0,4.07,0.0,0.0
78,Bush - Speech28 - Edited.txt,0.30174927113702626,2058.0,621.0,20.889908256880734,7.0,2.0,67.0,0.0,1.0,106.0,109.0,30.0,98.0,9.0,216.0,9.0,222.0,102.0,2.0,2.0,62.0,186.0,134.0,10.0,74.0,1.0,3.0,217.0,17.0,127.0,7.0,1.0,8.0,68.0,3.0,126.0,45.0,37.0,53.0,119.0,47.0,9.0,9.0,6.0,1.0,0.0,0.0,1.0,1,1975,46.64,65.37,38.78,66.05,18.29,18.53,88.15,58.13,17.52,10.28,4.61,3.44,0.86,0.71,0.66,7.24,6.99,13.57,10.99,4.71,7.24,2.23,20.0,3.59,1.92,0.86,0.71,2.08,4.96,3.54,1.42,0.46,0.2,0.2,10.08,0.0,0.1,0.0,0.81,13.67,3.7,1.32,2.73,2.48,1.27,3.59,2.68,1.67,0.76,0.25,0.71,0.1,0.1,0.0,0.51,9.97,4.25,1.32,3.04,1.52,0.56,3.59,12.81,1.97,10.84,2.03,6.68,2.23,2.53,0.41,0.41,0.61,0.05,0.1,0.46,0.0,0.0,0.25,0.2,0.0,16.05,5.92,5.37,0.2,0.41,0.1,0.0,1.06,0.1,2.78,0.0,0.1,1,1975,46.64,65.37,38.78,66.05,18.29,18.53,88.15,58.13,17.52,10.28,4.61,3.44,0.86,0.71,0.66,7.24,6.99,13.57,10.99,4.71,7.24,2.23,20.0,3.59,1.92,0.86,0.71,2.08,4.96,3.54,1.42,0.46,0.2,0.2,10.08,0.0,0.1,0.0,0.81,13.67,3.7,1.32,2.73,2.48,1.27,3.59,2.68,1.67,0.76,0.25,0.71,0.1,0.1,0.0,0.51,9.97,4.25,1.32,3.04,1.52,0.56,3.59,12.81,1.97,10.84,2.03,6.68,2.23,2.53,0.41,0.41,0.61,0.05,0.1,0.46,0.0,0.0,0.25,0.2,0.0,16.05,5.92,5.37,0.2,0.41,0.1,0.0,1.06,0.1,2.78,0.0,0.1
79,Bush - Speech15 - Edited.txt,0.228515625,3584.0,819.0,21.73224043715847,6.0,8.0,150.0,2.0,3.0,204.0,183.0,64.0,167.0,20.0,334.0,8.0,400.0,208.0,13.0,5.0,96.0,341.0,136.0,19.0,142.0,3.0,10.0,349.0,40.0,237.0,6.0,1.0,21.0,143.0,6.0,258.0,42.0,87.0,48.0,190.0,116.0,18.0,29.0,22.0,3.0,0.0,2.0,1.0,1,3370,40.96,71.56,52.04,81.01,18.42,17.15,88.64,59.73,18.61,10.39,3.89,4.09,1.34,0.59,0.47,8.22,5.82,14.96,11.16,4.75,7.8,2.61,20.18,3.95,1.9,1.66,0.71,2.08,5.04,4.01,0.95,0.27,0.03,0.12,11.34,0.03,0.15,0.0,0.65,13.26,2.61,1.19,2.34,3.77,1.22,4.54,2.4,0.86,1.04,0.5,0.27,0.24,0.0,0.0,0.03,11.48,5.31,2.05,2.67,2.05,0.71,2.31,14.84,2.28,13.2,3.18,8.46,2.05,2.7,0.15,0.21,0.68,0.06,0.0,0.5,0.03,0.0,0.24,0.24,0.0,19.23,5.52,6.05,0.18,0.47,0.24,0.0,1.81,0.18,4.72,0.0,0.06,1,3370,40.96,71.56,52.04,81.01,18.42,17.15,88.64,59.73,18.61,10.39,3.89,4.09,1.34,0.59,0.47,8.22,5.82,14.96,11.16,4.75,7.8,2.61,20.18,3.95,1.9,1.66,0.71,2.08,5.04,4.01,0.95,0.27,0.03,0.12,11.34,0.03,0.15,0.0,0.65,13.26,2.61,1.19,2.34,3.77,1.22,4.54,2.4,0.86,1.04,0.5,0.27,0.24,0.0,0.0,0.03,11.48,5.31,2.05,2.67,2.05,0.71,2.31,14.84,2.28,13.2,3.18,8.46,2.05,2.7,0.15,0.21,0.68,0.06,0.0,0.5,0.03,0.0,0.24,0.24,0.0,19.23,5.52,6.05,0.18,0.47,0.24,0.0,1.81,0.18,4.72,0.0,0.06
80,Bush - Speech1 - Edited.txt,0.22778129617901627,4737.0,1079.0,18.33910034602076,19.0,16.0,191.0,2.0,3.0,263.0,289.0,79.0,212.0,37.0,486.0,30.0,551.0,243.0,13.0,4.0,89.0,517.0,193.0,3.0,180.0,5.0,9.0,496.0,47.0,307.0,5.0,1.0,20.0,151.0,16.0,270.0,60.0,104.0,80.0,289.0,163.0,24.0,23.0,31.0,3.0,0.0,2.0,0.0,1,4434,42.64,45.77,75.3,66.73,15.29,17.34,90.84,59.79,17.95,10.08,5.64,1.94,1.06,0.54,0.9,7.87,6.9,14.68,11.25,5.57,7.69,2.66,20.37,3.68,2.17,1.47,1.11,2.32,4.58,3.34,1.17,0.23,0.29,0.11,8.73,0.02,0.07,0.09,0.61,14.7,3.56,1.47,1.94,3.16,1.89,4.49,2.19,0.81,0.9,0.41,0.43,0.11,0.2,0.0,0.09,8.64,2.5,1.17,3.11,1.65,0.72,2.82,14.5,1.76,13.89,2.41,8.28,3.72,3.25,0.27,0.14,1.38,0.02,0.09,0.83,0.0,0.02,0.54,0.29,0.0,20.64,6.11,5.93,0.25,0.23,0.52,0.0,2.12,0.14,4.94,0.0,0.41,1,4434,42.64,45.77,75.3,66.73,15.29,17.34,90.84,59.79,17.95,10.08,5.64,1.94,1.06,0.54,0.9,7.87,6.9,14.68,11.25,5.57,7.69,2.66,20.37,3.68,2.17,1.47,1.11,2.32,4.58,3.34,1.17,0.23,0.29,0.11,8.73,0.02,0.07,0.09,0.61,14.7,3.56,1.47,1.94,3.16,1.89,4.49,2.19,0.81,0.9,0.41,0.43,0.11,0.2,0.0,0.09,8.64,2.5,1.17,3.11,1.65,0.72,2.82,14.5,1.76,13.89,2.41,8.28,3.72,3.25,0.27,0.14,1.38,0.02,0.09,0.83,0.0,0.02,0.54,0.29,0.0,20.64,6.11,5.93,0.25,0.23,0.52,0.0,2.12,0.14,4.94,0.0,0.41
81,Bush - Speech44 - Edited.txt,0.22412993039443155,4310.0,966.0,16.408163265306122,12.0,19.0,158.0,0.0,1.0,215.0,294.0,48.0,201.0,20.0,467.0,31.0,466.0,190.0,8.0,3.0,97.0,451.0,186.0,14.0,118.0,4.0,8.0,450.0,55.0,267.0,3.0,1.0,22.0,158.0,8.0,274.0,91.0,94.0,96.0,245.0,156.0,28.0,28.0,22.0,1.0,0.0,3.0,0.0,1,4065,34.2,60.3,40.5,71.9,13.83,16.11,90.9,60.86,19.53,10.63,4.99,2.36,0.98,1.28,1.01,8.91,6.59,13.63,12.03,5.41,7.45,2.44,21.55,2.78,1.28,1.33,0.62,2.56,4.92,3.64,1.18,0.27,0.32,0.2,10.73,0.15,0.0,0.44,0.96,14.15,3.22,1.18,2.61,3.71,1.35,3.96,2.58,1.11,0.89,0.49,0.47,0.12,0.15,0.07,0.15,8.98,3.32,1.38,2.31,1.97,0.57,3.62,15.2,1.89,11.27,2.41,6.86,2.78,2.68,0.25,0.25,0.49,0.07,0.1,0.47,0.07,0.0,0.27,0.1,0.0,19.61,7.13,5.29,0.15,0.17,0.42,0.02,1.16,0.05,5.07,0.0,0.15,1,4065,34.2,60.3,40.5,71.9,13.83,16.11,90.9,60.86,19.53,10.63,4.99,2.36,0.98,1.28,1.01,8.91,6.59,13.63,12.03,5.41,7.45,2.44,21.55,2.78,1.28,1.33,0.62,2.56,4.92,3.64,1.18,0.27,0.32,0.2,10.73,0.15,0.0,0.44,0.96,14.15,3.22,1.18,2.61,3.71,1.35,3.96,2.58,1.11,0.89,0.49,0.47,0.12,0.15,0.07,0.15,8.98,3.32,1.38,2.31,1.97,0.57,3.62,15.2,1.89,11.27,2.41,6.86,2.78,2.68,0.25,0.25,0.49,0.07,0.1,0.47,0.07,0.0,0.27,0.1,0.0,19.61,7.13,5.29,0.15,0.17,0.42,0.02,1.16,0.05,5.07,0.0,0.15
82,Bush - Speech21 - Edited.txt,0.25298245614035086,2850.0,721.0,20.025316455696203,18.0,7.0,119.0,4.0,2.0,151.0,158.0,51.0,150.0,28.0,303.0,17.0,296.0,174.0,12.0,1.0,52.0,317.0,96.0,5.0,113.0,1.0,5.0,269.0,23.0,190.0,6.0,1.0,18.0,90.0,8.0,162.0,34.0,71.0,60.0,152.0,102.0,14.0,14.0,12.0,2.0,0.0,0.0,0.0,1,2688,43.04,63.39,40.33,72.44,16.91,17.93,90.66,58.89,17.0,8.37,3.5,2.16,1.08,0.63,1.0,8.63,7.07,13.73,11.35,5.51,8.04,2.31,19.68,3.42,1.79,1.23,1.34,2.05,5.54,3.91,1.41,0.11,0.45,0.19,9.9,0.37,0.26,0.19,0.67,12.98,2.86,2.01,2.08,3.2,1.15,3.91,1.75,0.67,0.56,0.33,1.12,0.15,0.82,0.04,0.04,10.64,3.46,1.82,3.57,1.9,0.56,2.6,15.14,1.6,11.98,2.05,7.7,2.53,3.87,0.41,0.33,1.38,0.04,0.07,0.86,0.0,0.04,0.26,0.52,0.0,18.08,5.73,5.62,0.26,0.22,0.26,0.07,1.53,0.15,4.02,0.0,0.22,1,2688,43.04,63.39,40.33,72.44,16.91,17.93,90.66,58.89,17.0,8.37,3.5,2.16,1.08,0.63,1.0,8.63,7.07,13.73,11.35,5.51,8.04,2.31,19.68,3.42,1.79,1.23,1.34,2.05,5.54,3.91,1.41,0.11,0.45,0.19,9.9,0.37,0.26,0.19,0.67,12.98,2.86,2.01,2.08,3.2,1.15,3.91,1.75,0.67,0.56,0.33,1.12,0.15,0.82,0.04,0.04,10.64,3.46,1.82,3.57,1.9,0.56,2.6,15.14,1.6,11.98,2.05,7.7,2.53,3.87,0.41,0.33,1.38,0.04,0.07,0.86,0.0,0.04,0.26,0.52,0.0,18.08,5.73,5.62,0.26,0.22,0.26,0.07,1.53,0.15,4.02,0.0,0.22
83,Bush - Speech59 - Edited.txt,0.27412192167945093,2477.0,679.0,17.645569620253166,9.0,7.0,87.0,0.0,1.0,150.0,158.0,28.0,94.0,19.0,255.0,12.0,253.0,119.0,5.0,2.0,69.0,241.0,86.0,9.0,92.0,2.0,1.0,287.0,33.0,171.0,5.0,0.0,14.0,88.0,1.0,151.0,52.0,79.0,32.0,136.0,95.0,21.0,13.0,13.0,1.0,0.0,0.0,0.0,1,2333,29.78,57.48,49.16,43.76,14.67,17.45,89.71,60.31,20.83,11.27,5.74,1.8,1.24,1.67,0.81,9.56,6.34,12.77,11.96,5.62,6.6,2.49,21.77,2.7,1.46,1.29,1.03,2.57,3.64,2.23,1.24,0.43,0.47,0.04,11.02,0.0,0.04,0.04,1.84,14.14,2.83,1.93,2.31,2.96,1.84,3.94,2.44,1.07,1.03,0.34,0.21,0.0,0.09,0.0,0.09,7.72,2.57,1.2,2.66,1.63,0.51,2.87,15.22,1.67,12.34,2.19,7.16,3.21,2.27,0.39,0.09,0.56,0.09,0.09,0.34,0.0,0.04,0.04,0.17,0.0,19.59,6.73,6.43,0.09,0.17,0.13,0.0,0.99,0.09,4.8,0.0,0.17,1,2333,29.78,57.48,49.16,43.76,14.67,17.45,89.71,60.31,20.83,11.27,5.74,1.8,1.24,1.67,0.81,9.56,6.34,12.77,11.96,5.62,6.6,2.49,21.77,2.7,1.46,1.29,1.03,2.57,3.64,2.23,1.24,0.43,0.47,0.04,11.02,0.0,0.04,0.04,1.84,14.14,2.83,1.93,2.31,2.96,1.84,3.94,2.44,1.07,1.03,0.34,0.21,0.0,0.09,0.0,0.09,7.72,2.57,1.2,2.66,1.63,0.51,2.87,15.22,1.67,12.34,2.19,7.16,3.21,2.27,0.39,0.09,0.56,0.09,0.09,0.34,0.0,0.04,0.04,0.17,0.0,19.59,6.73,6.43,0.09,0.17,0.13,0.0,0.99,0.09,4.8,0.0,0.17
84,Bush - Speech46 - Edited.txt,0.23478260869565218,3335.0,783.0,17.004587155963304,13.0,6.0,123.0,2.0,1.0,153.0,218.0,44.0,139.0,15.0,341.0,17.0,337.0,144.0,7.0,2.0,66.0,316.0,136.0,9.0,117.0,2.0,5.0,380.0,22.0,247.0,6.0,2.0,14.0,113.0,5.0,206.0,72.0,80.0,71.0,218.0,128.0,19.0,26.0,24.0,1.0,0.0,0.0,2.0,1,3131,31.84,57.23,62.43,66.85,14.3,16.9,90.19,59.89,19.29,10.7,6.04,2.91,0.89,0.35,0.51,8.56,6.58,12.74,11.88,6.29,6.77,2.65,22.74,2.43,1.41,1.92,0.57,2.33,5.08,3.58,1.41,0.32,0.32,0.1,10.38,0.0,0.16,0.06,0.32,14.82,3.67,2.04,2.08,3.13,1.69,3.64,2.14,0.89,0.93,0.26,0.57,0.19,0.13,0.06,0.22,10.06,4.09,1.25,2.62,1.79,0.89,3.8,16.67,2.2,11.98,2.62,6.93,3.13,2.36,0.1,0.26,0.83,0.06,0.0,0.64,0.03,0.0,0.32,0.29,0.0,18.91,6.96,4.89,0.03,0.35,0.16,0.0,1.25,0.06,5.14,0.0,0.06,1,3131,31.84,57.23,62.43,66.85,14.3,16.9,90.19,59.89,19.29,10.7,6.04,2.91,0.89,0.35,0.51,8.56,6.58,12.74,11.88,6.29,6.77,2.65,22.74,2.43,1.41,1.92,0.57,2.33,5.08,3.58,1.41,0.32,0.32,0.1,10.38,0.0,0.16,0.06,0.32,14.82,3.67,2.04,2.08,3.13,1.69,3.64,2.14,0.89,0.93,0.26,0.57,0.19,0.13,0.06,0.22,10.06,4.09,1.25,2.62,1.79,0.89,3.8,16.67,2.2,11.98,2.62,6.93,3.13,2.36,0.1,0.26,0.83,0.06,0.0,0.64,0.03,0.0,0.32,0.29,0.0,18.91,6.96,4.89,0.03,0.35,0.16,0.0,1.25,0.06,5.14,0.0,0.06
85,Bush - Speech31 - Edited.txt,0.26741573033707866,3115.0,833.0,19.227777777777778,14.0,5.0,138.0,0.0,1.0,161.0,180.0,42.0,149.0,19.0,345.0,15.0,336.0,155.0,1.0,4.0,52.0,289.0,138.0,9.0,127.0,0.0,9.0,326.0,19.0,208.0,4.0,3.0,18.0,101.0,3.0,191.0,55.0,56.0,71.0,216.0,103.0,21.0,19.0,12.0,1.0,0.0,2.0,0.0,1,2936,42.57,52.86,56.42,69.43,16.31,17.61,90.19,58.75,18.09,9.78,5.28,1.94,1.12,0.61,0.82,8.31,7.53,13.11,11.21,5.07,7.25,2.59,21.19,2.96,1.12,1.23,0.72,2.21,5.89,3.99,1.67,0.03,0.58,0.34,9.43,0.0,0.41,0.0,0.72,14.0,3.85,1.23,1.98,2.9,1.43,3.88,2.55,1.26,0.89,0.37,0.61,0.24,0.34,0.03,0.03,9.5,3.07,1.02,3.0,1.91,1.12,3.58,15.4,1.7,11.55,2.79,6.13,3.37,2.62,0.07,0.17,0.95,0.03,0.07,0.78,0.03,0.03,0.14,0.51,0.0,18.73,6.37,5.48,0.17,0.07,0.2,0.0,1.4,0.07,4.77,0.0,0.2,1,2936,42.57,52.86,56.42,69.43,16.31,17.61,90.19,58.75,18.09,9.78,5.28,1.94,1.12,0.61,0.82,8.31,7.53,13.11,11.21,5.07,7.25,2.59,21.19,2.96,1.12,1.23,0.72,2.21,5.89,3.99,1.67,0.03,0.58,0.34,9.43,0.0,0.41,0.0,0.72,14.0,3.85,1.23,1.98,2.9,1.43,3.88,2.55,1.26,0.89,0.37,0.61,0.24,0.34,0.03,0.03,9.5,3.07,1.02,3.0,1.91,1.12,3.58,15.4,1.7,11.55,2.79,6.13,3.37,2.62,0.07,0.17,0.95,0.03,0.07,0.78,0.03,0.03,0.14,0.51,0.0,18.73,6.37,5.48,0.17,0.07,0.2,0.0,1.4,0.07,4.77,0.0,0.2
