"","Player","Year","Pos","TS.","AST.","FG.","FT.","X3P.","X2P.","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","Player_year","randomPart_euclidean_12"
"706","Brad Miller",2001,"C",0.52,13.1,0.435,0.743,0.2,0.438,3.6,6.9,2.7,0.8,1,1.8,4.4,12.7,"Brad Miller-2001",8
"707","Mike Miller",2001,"SF",0.541,9.7,0.436,0.711,0.407,0.457,1,3.9,2.1,0.8,0.3,1.5,3,14.7,"Mike Miller-2001",11
"708","Reggie Miller",2001,"SG",0.574,15,0.44,0.928,0.366,0.487,0.4,2.8,2.9,0.9,0.2,1.5,1.8,17.3,"Reggie Miller-2001",11
"711","Sam Mitchell",2001,"SF",0.455,8.6,0.408,0.727,0.209,0.443,1,3.5,2.1,1,0.4,1.3,4.3,10.4,"Sam Mitchell-2001",3
"712","Cuttino Mobley",2001,"SG",0.541,11.5,0.434,0.831,0.357,0.454,1,3.8,2.3,1,0.3,2,2,18.4,"Cuttino Mobley-2001",11
"713","Nazr Mohammed",2001,"C",0.52,3.9,0.477,0.706,0,0.478,4.5,7.6,0.7,1.1,1.4,2.5,4.5,17.4,"Nazr Mohammed-2001",8
"714","Jerome Moiso",2001,"C",0.422,3.6,0.4,0.423,0,0.414,3.2,8,0.8,0.8,1.1,4.8,7.7,9.3,"Jerome Moiso-2001",8
"716","Mikki Moore",2001,"C",0.552,4.6,0.493,0.731,0,0.494,3.8,6.1,1,0.7,1.9,2.3,6.3,11.2,"Mikki Moore-2001",8
"717","Hanno Mottola",2001,"SF",0.504,4.2,0.444,0.811,0,0.449,1.8,4.6,0.9,0.4,0.3,2.4,5.9,11.6,"Hanno Mottola-2001",8
"719","Chris Mullin",2001,"SF",0.486,7.9,0.34,0.857,0.365,0.315,1,3,1.8,1.5,1,1.8,2.7,11.1,"Chris Mullin-2001",3
"720","Lamond Murray",2001,"SF",0.49,10.1,0.423,0.735,0.37,0.434,1.7,3.8,2,1.3,0.4,2.3,2.8,16.1,"Lamond Murray-2001",3
"721","Tracy Murray",2001,"SF",0.482,6.5,0.379,0.786,0.35,0.4,1.3,3.6,1.4,0.7,0.4,1.6,3.2,15.7,"Tracy Murray-2001",3
"724","Lee Nailon",2001,"SF",0.529,9.1,0.485,0.744,0,0.489,2.2,4.8,1.8,0.7,0.4,2.1,4.6,12.6,"Lee Nailon-2001",8
"725","Eduardo Najera",2001,"PF",0.522,9.7,0.523,0.424,0.333,0.528,3.4,4.5,2.3,1.1,0.7,1.4,4,10.9,"Eduardo Najera-2001",6
"726","Steve Nash",2001,"PG",0.603,34.6,0.487,0.895,0.406,0.518,0.7,2.7,7.7,1.1,0.1,3.1,2.4,16.5,"Steve Nash-2001",10
"727","Tyrone Nesby",2001,"SF",0.444,8.2,0.357,0.802,0.272,0.4,1.2,2.8,1.8,1.2,0.5,1.5,3.6,11.8,"Tyrone Nesby-2001",3
"728","Rasho Nesterovic",2001,"C",0.472,5.4,0.461,0.523,0,0.462,2.9,5.5,1.3,0.7,1.8,1.6,5.5,9.6,"Rasho Nesterovic-2001",8
"729","Ira Newble",2001,"SF",0.435,5.3,0.382,0.5,0.444,0.37,2.5,4.3,1.2,0.4,0.8,1.4,3.5,10.6,"Ira Newble-2001",1
"730","Johnny Newman",2001,"SG",0.542,10,0.419,0.855,0.335,0.447,0.6,2.5,2,1.1,0.2,1.9,4,15.7,"Johnny Newman-2001",11
"731","Moochie Norris",2001,"PG",0.546,27.1,0.446,0.778,0.281,0.491,1,3.4,6.2,1.5,0,2.3,1.8,11.8,"Moochie Norris-2001",2
"732","Dirk Nowitzki",2001,"PF",0.601,9.4,0.474,0.838,0.387,0.513,1.4,7.3,2,0.9,1.2,1.8,2.8,20.6,"Dirk Nowitzki-2001",12
"733","Jermaine O'Neal",2001,"C",0.501,6.7,0.465,0.601,0,0.468,3.4,7.4,1.3,0.7,3.1,2.2,3.8,14.2,"Jermaine O'Neal-2001",8
"734","Shaquille O'Neal",2001,"C",0.574,18.8,0.572,0.513,0,0.573,3.6,8,3.4,0.6,2.5,2.7,3.2,26.2,"Shaquille O'Neal-2001",12
"735","Charles Oakley",2001,"PF",0.439,14.6,0.388,0.836,0.224,0.399,1.8,7.8,3.4,1,0.6,1.8,3.4,9.7,"Charles Oakley-2001",3
"736","Lamar Odom",2001,"PF",0.536,25,0.46,0.679,0.316,0.506,1.4,6.1,5,0.9,1.5,3.4,3,16.6,"Lamar Odom-2001",12
"737","Hakeem Olajuwon",2001,"C",0.526,8.3,0.498,0.621,0,0.499,2.9,7.2,1.7,1.6,2.1,1.9,3.3,16.1,"Hakeem Olajuwon-2001",12
"738","Kevin Ollie",2001,"PG",0.467,24.5,0.396,0.708,0.333,0.397,0.6,3.1,5.7,1.2,0,1.9,3.3,8.4,"Kevin Ollie-2001",5
"740","Greg Ostertag",2001,"C",0.522,2.3,0.495,0.556,0.5,0.495,4,6.1,0.5,0.5,3.4,1.5,5.2,8.8,"Greg Ostertag-2001",7
"741","Bo Outlaw",2001,"PF",0.623,13.3,0.614,0.573,0.5,0.615,3,5.8,3.2,1.5,1.9,2,3.4,8.3,"Bo Outlaw-2001",7
"742","Doug Overton",2001,"PG",0.428,25.5,0.374,0.625,0.306,0.398,0.3,2.7,5.5,0.6,0,2.3,2.8,9.5,"Doug Overton-2001",5
"743","Billy Owens",2001,"PF",0.4,11.1,0.383,0.475,0.15,0.405,3.8,5.5,2.5,1.5,0.5,1.8,4.2,9,"Billy Owens-2001",1
"745","Robert Pack",2001,"PG",0.493,38.2,0.425,0.766,0.387,0.428,0.9,3.1,8.4,1.9,0,3.9,3.3,13.7,"Robert Pack-2001",10
"746","Scott Padgett",2001,"PF",0.541,6.5,0.419,0.75,0.556,0.382,5.4,5.7,1.4,1.7,0.9,2.8,6,15.9,"Scott Padgett-2001",9
"747","Milt Palacio",2001,"PG",0.556,22.5,0.472,0.848,0.333,0.494,0.8,2.4,4.8,1.5,0,2.5,2.6,10.8,"Milt Palacio-2001",2
"749","Cherokee Parks",2001,"C",0.51,7.3,0.489,0.705,0,0.5,2.4,5.4,1.6,0.9,1.2,1.4,4.2,10.2,"Cherokee Parks-2001",8
"750","Ruben Patterson",2001,"SF",0.544,13.4,0.494,0.681,0.056,0.516,3.2,3.5,2.8,1.8,0.8,2.7,3.1,17.3,"Ruben Patterson-2001",6
"751","Gary Payton",2001,"PG",0.522,36.6,0.456,0.766,0.375,0.472,0.8,3.2,7.1,1.4,0.3,2.3,2,20.2,"Gary Payton-2001",10
"752","Anthony Peeler",2001,"SG",0.513,13.9,0.421,0.862,0.391,0.437,0.7,2.5,3.3,1.5,0.3,1.8,2.8,13.4,"Anthony Peeler-2001",2
"753","Mike Penberthy",2001,"PG",0.567,12.4,0.414,0.903,0.396,0.446,0.4,2.2,3,0.9,0.1,1.4,2.4,11.3,"Mike Penberthy-2001",11
"755","Sam Perkins",2001,"PF",0.499,6.6,0.381,0.842,0.345,0.414,1.2,4.9,1.5,1.2,0.6,0.7,2.2,8.7,"Sam Perkins-2001",3
"756","Elliot Perry",2001,"PG",0.491,25.8,0.464,0.727,0.2,0.474,0.6,2.7,5.7,1.6,0.1,2.7,2.1,10.6,"Elliot Perry-2001",2
"757","Wesley Person",2001,"SG",0.514,11.2,0.438,0.8,0.405,0.452,0.4,4.5,2.4,1,0.4,1.5,2.3,11.8,"Wesley Person-2001",11
"758","Morris Peterson",2001,"SG",0.507,9.6,0.431,0.717,0.382,0.447,2.2,2.9,2.1,1.3,0.4,1.6,3.3,14.9,"Morris Peterson-2001",3
"759","Eric Piatkowski",2001,"SG",0.572,7.6,0.433,0.873,0.404,0.456,0.9,3.1,1.6,0.8,0.3,1.3,2.1,14.4,"Eric Piatkowski-2001",11
"760","Paul Pierce",2001,"SF",0.563,16.9,0.454,0.745,0.383,0.478,1.1,4.9,2.9,1.6,0.8,3,2.9,23.9,"Paul Pierce-2001",4
"761","Scottie Pippen",2001,"SF",0.541,21.8,0.451,0.739,0.344,0.5,1.2,4.4,5,1.6,0.6,2.6,2.7,12.2,"Scottie Pippen-2001",2
"762","Scot Pollard",2001,"C",0.53,4.2,0.468,0.749,0,0.471,3.8,6.3,1,1,2.1,1.4,4.5,10.8,"Scot Pollard-2001",8
"763","Olden Polynice",2001,"C",0.484,3.1,0.496,0.262,0,0.498,3.5,4.9,0.7,0.6,1.7,1.7,5.4,9.5,"Olden Polynice-2001",8
"764","Mark Pope",2001,"PF",0.48,5.6,0.437,0.629,0.208,0.483,2.1,3.5,1.5,0.6,1,0.6,5.4,5.8,"Mark Pope-2001",8
"765","Chris Porter",2001,"SF",0.434,9,0.389,0.667,0,0.393,2.8,3.1,1.9,1.4,0.2,1.9,3.5,13.8,"Chris Porter-2001",1
"766","Terry Porter",2001,"PG",0.583,24.5,0.448,0.793,0.424,0.468,0.5,3.8,5.4,1.1,0.2,2.2,1.9,12.3,"Terry Porter-2001",2
"767","James Posey",2001,"SF",0.511,11.2,0.412,0.816,0.3,0.477,2,4.9,2.6,1.5,0.6,1.6,3.6,10.6,"James Posey-2001",6
"768","Lavor Postell",2001,"SG",0.448,5,0.315,0.815,0.273,0.326,1.7,3.6,1.1,0.9,0.4,3.6,2.6,12.6,"Lavor Postell-2001",3
"771","Laron Profit",2001,"PG",0.47,23.5,0.394,0.733,0.269,0.422,1.1,2.7,5.3,2.1,0.7,2.7,2.6,9,"Laron Profit-2001",5
"774","Eldridge Recasner",2001,"PG",0.422,15.9,0.333,0.778,0.333,0.333,1.2,3.3,3.5,0.5,0.1,2.4,2.7,9.2,"Eldridge Recasner-2001",3
"776","Bryant Reeves",2001,"C",0.506,7.4,0.46,0.796,0.25,0.462,2.6,6.3,1.6,0.8,1.1,1.8,4.8,12.2,"Bryant Reeves-2001",9
"779","Glen Rice",2001,"SF",0.54,7.4,0.44,0.852,0.389,0.46,1,4,1.4,0.7,0.2,1.6,2.9,14.6,"Glen Rice-2001",11
"780","Quentin Richardson",2001,"SG",0.516,8.3,0.442,0.627,0.331,0.487,2.8,4,1.6,1.1,0.2,1.7,2.6,16.3,"Quentin Richardson-2001",6
"781","Mitch Richmond",2001,"SG",0.521,16.6,0.407,0.894,0.338,0.431,0.4,2.8,3.3,1.3,0.2,2.5,2.5,17.7,"Mitch Richmond-2001",2
"782","Isaiah Rider",2001,"SG",0.499,15,0.426,0.855,0.37,0.439,1.3,3.3,3.3,0.8,0.2,2.9,3.1,15.1,"Isaiah Rider-2001",2
"784","Clifford Robinson",2001,"PF",0.501,15.4,0.422,0.709,0.361,0.439,1.4,3,3.1,1.1,1.1,2.4,3.4,17.6,"Clifford Robinson-2001",4
"785","David Robinson",2001,"C",0.559,8.8,0.486,0.747,0,0.487,3.2,7.3,1.8,1.2,3,1.9,3.2,17.5,"David Robinson-2001",12
"786","Eddie Robinson",2001,"SF",0.559,9.4,0.531,0.727,0.5,0.531,1.8,4.1,1.8,1.5,1,1.3,2,14.9,"Eddie Robinson-2001",6
"787","Glenn Robinson",2001,"SF",0.525,16.5,0.468,0.82,0.299,0.493,1.6,5.1,3.2,1.1,0.8,2.8,2.4,21.4,"Glenn Robinson-2001",4
"790","Larry Robinson",2001,"PG",0.511,9.1,0.364,0.875,0.379,0.338,1.3,3.6,2.1,1.6,0.1,1.4,2.6,11.3,"Larry Robinson-2001",3
"791","Carlos Rogers",2001,"C",0.674,2.7,0.682,0.558,0,0.688,3.2,6,0.6,0.7,1.2,1.1,2.2,11.8,"Carlos Rogers-2001",7
"792","Rodney Rogers",2001,"SF",0.507,14.5,0.43,0.761,0.296,0.467,1.6,4.4,3,1.6,0.8,2.6,4.4,16.5,"Rodney Rogers-2001",6
"793","Sean Rooks",2001,"C",0.487,8.1,0.428,0.748,0.5,0.427,2.1,4.9,1.8,0.8,1.5,1.7,4.6,10.3,"Sean Rooks-2001",9
"794","Jalen Rose",2001,"SF",0.53,28.7,0.457,0.828,0.339,0.476,0.5,3.9,5.3,0.8,0.5,2.6,2.8,18.1,"Jalen Rose-2001",2
"795","Malik Rose",2001,"PF",0.498,6.6,0.435,0.713,0.176,0.447,2.8,6.3,1.4,1.7,1.2,2.2,4.4,12.9,"Malik Rose-2001",8
"797","Bryon Russell",2001,"SF",0.565,10.4,0.44,0.779,0.413,0.453,1.4,3.4,2.3,1.4,0.3,1.6,3.3,13.6,"Bryon Russell-2001",11
"798","Arvydas Sabonis",2001,"C",0.527,12.3,0.479,0.776,0.067,0.491,1.4,7.8,2.5,1.1,1.7,2.4,3.8,17.1,"Arvydas Sabonis-2001",12
"800","Pepe Sanchez",2001,"PG",0.346,41.3,0.321,1,0,0.333,0.7,2.9,9.8,2.6,0.2,1.4,5,4.8,"Pepe Sanchez-2001",5
"802","Detlef Schrempf",2001,"SF",0.487,16.8,0.411,0.852,0.375,0.414,1.5,5.5,4,0.6,0.3,2.5,3.9,9.4,"Detlef Schrempf-2001",3
"804","Brian Shaw",2001,"SG",0.479,20.4,0.399,0.797,0.311,0.442,0.9,5,5.1,1,0.5,1.9,3.1,8.3,"Brian Shaw-2001",2
"808","Joe Smith",2001,"PF",0.475,7.1,0.403,0.805,0,0.405,3,6.1,1.5,0.9,0.9,1.6,4.8,15.7,"Joe Smith-2001",8
"809","Michael Smith",2001,"PF",0.527,9.6,0.486,0.578,0,0.488,3.8,8.7,2.3,1.3,0.8,1.4,3.5,6.7,"Michael Smith-2001",8
"811","Steve Smith",2001,"SG",0.587,13.6,0.456,0.89,0.339,0.504,1.2,2.6,3,0.7,0.3,1.9,2.9,15.6,"Steve Smith-2001",11
"813","Eric Snow",2001,"PG",0.488,33.9,0.418,0.792,0.263,0.425,0.6,2.9,7.6,1.6,0.1,2.6,2.5,10.2,"Eric Snow-2001",5
"815","Latrell Sprewell",2001,"SF",0.497,17.2,0.43,0.783,0.304,0.446,0.6,3.6,3.2,1.3,0.3,2.6,1.9,16.3,"Latrell Sprewell-2001",2
"816","Jerry Stackhouse",2001,"SG",0.521,25.8,0.402,0.822,0.351,0.418,1.1,2.4,4.6,1.1,0.6,3.7,1.8,26.7,"Jerry Stackhouse-2001",4
"817","John Starks",2001,"SG",0.476,13.5,0.398,0.802,0.352,0.415,0.5,2.1,3,1.2,0.2,1.6,3.7,11.9,"John Starks-2001",3
"818","Vladimir Stepania",2001,"C",0.398,9.4,0.318,0.735,0.25,0.321,4.5,9.5,2.1,1.3,1.4,2.4,6,10.5,"Vladimir Stepania-2001",1
"819","DeShawn Stevenson",2001,"SG",0.413,9.6,0.341,0.684,0.083,0.38,1.1,2.3,2.2,1.2,0.2,3.4,3.6,10.9,"DeShawn Stevenson-2001",1
"821","Bryant Stith",2001,"SG",0.538,11.2,0.401,0.845,0.376,0.417,0.9,3.1,2.4,1.3,0.2,1.3,2.6,10.9,"Bryant Stith-2001",3
"822","John Stockton",2001,"PG",0.61,48.7,0.504,0.817,0.462,0.514,0.8,2.6,10.7,2,0.3,3,2.9,14.2,"John Stockton-2001",10
"823","Peja Stojakovic",2001,"SF",0.576,9.6,0.47,0.856,0.4,0.501,1.2,4.2,2,1.1,0.2,1.8,1.8,18.9,"Peja Stojakovic-2001",11
"824","Damon Stoudamire",2001,"PG",0.519,29.1,0.434,0.831,0.374,0.453,0.9,3.2,6.3,1.4,0.1,2.6,2.7,14.5,"Damon Stoudamire-2001",2
"825","Erick Strickland",2001,"PG",0.431,18.6,0.303,0.861,0.316,0.297,0.8,4.8,4.1,1.9,0.1,2.1,3.8,11.3,"Erick Strickland-2001",5
"826","Mark Strickland",2001,"SF",0.467,5.6,0.431,0.643,0.5,0.43,2.7,5.4,1.2,0.8,1.1,1.7,3.6,12.6,"Mark Strickland-2001",9
"827","Rod Strickland",2001,"PG",0.493,37.1,0.424,0.751,0.235,0.432,0.9,2.7,8,1.4,0.1,2.8,2,13.1,"Rod Strickland-2001",10
"828","Derek Strong",2001,"PF",0.443,2.3,0.385,0.757,0,0.388,2.5,5.4,0.5,1,0.1,1.6,2.2,8.7,"Derek Strong-2001",1
"830","Bob Sura",2001,"SG",0.487,23.1,0.39,0.714,0.273,0.448,1.2,3.7,5.2,1.2,0.2,3.4,2.7,12.5,"Bob Sura-2001",5
"831","Stromile Swift",2001,"PF",0.487,3.5,0.451,0.603,0,0.457,3,4.8,0.8,1.7,2.3,1.8,4.4,10.7,"Stromile Swift-2001",8
"832","Wally Szczerbiak",2001,"SF",0.566,14.5,0.51,0.87,0.338,0.526,1.7,4,3.3,0.7,0.4,1.7,2.8,14.4,"Wally Szczerbiak-2001",11
"835","Maurice Taylor",2001,"SF",0.518,9.7,0.489,0.735,0,0.492,2,4.9,1.9,0.5,0.7,2.3,3.8,16.4,"Maurice Taylor-2001",8
"836","Jason Terry",2001,"SG",0.531,24.3,0.436,0.846,0.395,0.448,0.5,2.6,4.7,1.2,0.1,2.8,2.4,18.9,"Jason Terry-2001",2
"838","Kenny Thomas",2001,"PF",0.507,6.7,0.443,0.722,0.272,0.485,2.4,5.8,1.5,0.8,0.9,2.3,3.5,10.4,"Kenny Thomas-2001",9
"839","Kurt Thomas",2001,"PF",0.566,5.4,0.511,0.814,0.333,0.512,2.9,5.8,1.1,1,1.2,1.7,4.9,13.6,"Kurt Thomas-2001",9
"840","Tim Thomas",2001,"PF",0.549,10.5,0.43,0.771,0.412,0.44,1.4,4,2.4,1.3,0.8,2,3.3,16.5,"Tim Thomas-2001",11
"842","Robert Traylor",2001,"C",0.521,8.7,0.497,0.567,0,0.5,3.7,5.2,1.9,1.5,2.3,2.9,6.1,11.9,"Robert Traylor-2001",8
"843","Gary Trent",2001,"PF",0.456,5.2,0.438,0.528,0,0.442,4.4,6,1.1,1.5,0.9,2.5,5.9,15,"Gary Trent-2001",8
"845","Hedo Turkoglu",2001,"SF",0.509,8.3,0.412,0.777,0.326,0.442,1.4,4.7,2,1.5,0.7,1.6,4,11.3,"Hedo Turkoglu-2001",3
"846","Nick Van Exel",2001,"PG",0.515,38.4,0.414,0.819,0.377,0.431,0.6,2.6,8,0.8,0.2,2.2,1.5,16.9,"Nick Van Exel-2001",10
"847","Keith Van Horn",2001,"SF",0.526,9,0.435,0.806,0.382,0.452,1.6,5.6,1.7,0.8,0.4,2.1,3.1,17.3,"Keith Van Horn-2001",9
"848","David Vanterpool",2001,"PG",0.462,26.4,0.418,0.6,0,0.442,1.3,1.9,5.8,2,0.3,3.2,3.9,10.7,"David Vanterpool-2001",5
"849","Jacque Vaughn",2001,"PG",0.535,31,0.433,0.78,0.385,0.444,0.4,2.9,7.2,1.1,0.1,2.9,3.2,11.1,"Jacque Vaughn-2001",2
"852","Antoine Walker",2001,"PF",0.505,26.8,0.413,0.716,0.367,0.439,1.6,6,4.7,1.5,0.5,3.2,2.7,20.1,"Antoine Walker-2001",4
"853","Samaki Walker",2001,"PF",0.524,5,0.48,0.629,0.333,0.482,2.5,6.6,1.1,0.4,1.5,2.5,3.9,12,"Samaki Walker-2001",9
"854","Ben Wallace",2001,"C",0.47,6.8,0.49,0.336,0.25,0.492,4,9.8,1.6,1.4,2.4,1.5,2.5,6.7,"Ben Wallace-2001",7
"855","John Wallace",2001,"SF",0.463,8,0.424,0.778,0.133,0.443,1.7,4,1.6,0.9,1.1,2.5,4.9,16.2,"John Wallace-2001",8
"856","Rasheed Wallace",2001,"PF",0.56,12.9,0.501,0.766,0.321,0.53,1.8,5.6,2.6,1.1,1.7,1.9,2.5,18.1,"Rasheed Wallace-2001",12
"857","Charlie Ward",2001,"PG",0.536,31.1,0.416,0.8,0.383,0.444,0.8,3.1,6.6,1.7,0.2,2.7,3.2,10.4,"Charlie Ward-2001",2
"859","Chris Webber",2001,"PF",0.516,20.6,0.481,0.703,0.071,0.488,2.3,7.6,3.7,1.2,1.5,2.5,2.9,24.1,"Chris Webber-2001",12
"860","Bonzi Wells",2001,"SF",0.571,18.4,0.533,0.663,0.34,0.547,2.2,4.5,3.8,1.7,0.4,3,3.7,17.1,"Bonzi Wells-2001",6
"861","David Wesley",2001,"SG",0.509,21.7,0.422,0.799,0.376,0.434,0.7,1.9,4.2,1.5,0.2,2,2.5,16.4,"David Wesley-2001",2
"863","Jahidi White",2001,"C",0.535,2.1,0.498,0.567,0,0.499,4,7.7,0.4,0.7,2.5,3,4.7,13,"Jahidi White-2001",7
"864","Chris Whitney",2001,"PG",0.537,26.9,0.387,0.894,0.375,0.401,0.3,2.2,5.8,1.3,0.1,2.4,3.5,13.1,"Chris Whitney-2001",2
"865","Aaron Williams",2001,"PF",0.533,6.5,0.457,0.787,0,0.458,3.3,5.8,1.4,0.9,1.7,2,4.9,12.9,"Aaron Williams-2001",8
"866","Alvin Williams",2001,"SG",0.483,27.2,0.43,0.752,0.306,0.451,0.8,2.4,6.1,1.8,0.4,1.5,2.6,12.1,"Alvin Williams-2001",2
"867","Eric Williams",2001,"SF",0.487,10.6,0.362,0.714,0.331,0.375,1.3,3,2.3,1.3,0.3,1.6,3.7,11,"Eric Williams-2001",3
"868","Jason Williams",2001,"PG",0.498,27.6,0.407,0.789,0.315,0.483,0.3,2.6,6.5,1.5,0.1,2.5,1.8,11.3,"Jason Williams-2001",2
"869","Jerome Williams",2001,"PF",0.526,6.1,0.463,0.741,0,0.467,4.1,7.6,1.4,1.7,0.6,1.9,3.8,11.3,"Jerome Williams-2001",8
"870","Monty Williams",2001,"SF",0.485,10.5,0.445,0.639,0.077,0.459,2.6,4.7,2.3,0.9,0.5,2.5,4,12.2,"Monty Williams-2001",8
"871","Scott Williams",2001,"C",0.514,4.2,0.474,0.857,0.25,0.476,2.7,7.6,1,1.4,0.9,1.2,5,11.4,"Scott Williams-2001",9
"872","Shammond Williams",2001,"PG",0.569,24.2,0.438,0.875,0.459,0.426,1,2.8,5.5,0.9,0.1,2.4,2.4,13.6,"Shammond Williams-2001",2
"873","Walt Williams",2001,"SF",0.527,10,0.394,0.77,0.395,0.392,0.7,4.9,2.2,0.7,0.6,1.7,3.5,13.6,"Walt Williams-2001",3
"874","Corliss Williamson",2001,"SF",0.533,6.5,0.502,0.637,0,0.504,2.3,4.5,1.3,1.1,0.4,2.3,4,17.1,"Corliss Williamson-2001",8
"875","Kevin Willis",2001,"C",0.478,4.6,0.441,0.769,0.167,0.443,3.5,7,1,1.1,1,1.7,4.2,14.2,"Kevin Willis-2001",8
"877","Ruben Wolkowyski",2001,"PF",0.399,1.4,0.316,0.735,0,0.325,1.4,4,0.4,0.7,2.1,1.4,4.5,8.9,"Ruben Wolkowyski-2001",1
"878","Metta World Peace",2001,"SF",0.483,17.6,0.401,0.75,0.291,0.426,0.9,3.6,3.5,2.3,0.7,2.4,3.9,13.8,"Metta World Peace-2001",5
"879","Lorenzen Wright",2001,"C",0.486,8,0.448,0.718,0,0.449,3.3,6.4,1.6,0.8,1.1,2.3,4.2,16,"Lorenzen Wright-2001",8
"881","Tariq Abdul-Wahad",2002,"SG",0.418,8.8,0.374,0.727,0.5,0.372,3.3,3.5,2,1.6,0.8,2.2,4.6,11,"Tariq Abdul-Wahad-2002",1
"882","Shareef Abdur-Rahim",2002,"PF",0.536,15.1,0.461,0.801,0.3,0.47,2.4,6,2.9,1.2,1,3,2.6,19.8,"Shareef Abdur-Rahim-2002",12
"883","Courtney Alexander",2002,"SG",0.521,11.3,0.47,0.81,0.278,0.478,1.2,2.9,2.3,1,0.2,1.6,3.1,14.9,"Courtney Alexander-2002",11
"886","Ray Allen",2002,"SG",0.598,19.4,0.462,0.873,0.434,0.485,1.2,3.3,3.9,1.3,0.3,2.3,2.2,21.4,"Ray Allen-2002",4
"887","Rafer Alston",2002,"PG",0.434,36.4,0.346,0.621,0.38,0.325,0.6,3.7,8.6,1.9,0.1,2.4,2.5,10.6,"Rafer Alston-2002",5
"889","Chris Andersen",2002,"C",0.417,4.2,0.338,0.786,0,0.357,5.2,5.2,1,1,3.8,1.8,4.8,9.9,"Chris Andersen-2002",8
"890","Derek Anderson",2002,"SG",0.538,18.6,0.404,0.856,0.373,0.422,0.9,2.7,4.2,1.3,0.2,1.7,2.2,14.7,"Derek Anderson-2002",2
"891","Kenny Anderson",2002,"PG",0.472,28.1,0.436,0.742,0.273,0.444,0.8,3.2,6,2.1,0.1,1.8,3.1,10.8,"Kenny Anderson-2002",5
"893","Shandon Anderson",2002,"SG",0.489,7.7,0.399,0.692,0.277,0.474,1.3,4.3,1.7,1.1,0.3,2.2,3,9.3,"Shandon Anderson-2002",3
"894","Greg Anthony",2002,"PG",0.46,30.8,0.385,0.659,0.294,0.433,0.5,2.6,6.7,1.8,0.1,2.2,2.7,11.3,"Greg Anthony-2002",5
"895","Gilbert Arenas",2002,"PG",0.562,24.8,0.453,0.775,0.345,0.498,1.3,2.8,5.4,2.2,0.3,3,3.6,15.9,"Gilbert Arenas-2002",10
"896","Brandon Armstrong",2002,"SG",0.358,6.5,0.318,0.5,0.294,0.324,1.8,1.1,1.5,1.3,0.2,1.5,4.8,11.8,"Brandon Armstrong-2002",1
"897","Darrell Armstrong",2002,"PG",0.553,25.5,0.419,0.888,0.349,0.484,1.1,3.1,6,2.1,0.1,2.3,2.2,13.4,"Darrell Armstrong-2002",2
"898","Carlos Arroyo",2002,"PG",0.467,31.2,0.441,0.722,0,0.45,1.2,2.7,6.8,1.1,0.1,2.2,2.9,10.8,"Carlos Arroyo-2002",5
"899","Chucky Atkins",2002,"PG",0.568,20.5,0.466,0.692,0.411,0.507,0.5,2,4.1,1.1,0.2,2,2.8,15.1,"Chucky Atkins-2002",2
"900","Stacey Augmon",2002,"SG",0.479,12.5,0.427,0.762,0,0.431,1.6,4.5,2.8,1.5,0.3,1.5,3.1,9.7,"Stacey Augmon-2002",3
"901","Isaac Austin",2002,"C",0.405,7,0.391,1,0,0.404,1.3,7,1.5,1.1,0.6,1.3,4.2,8.9,"Isaac Austin-2002",3
"902","William Avery",2002,"PG",0.361,19.9,0.289,0.684,0.171,0.364,0.6,2.8,5,1,0,2.7,2.4,9.9,"William Avery-2002",5
"903","Dalibor Bagaric",2002,"C",0.443,6,0.404,0.586,0,0.407,3.1,6,1.3,1,1.4,2.6,6.1,10.4,"Dalibor Bagaric-2002",8
"904","Vin Baker",2002,"C",0.517,7,0.485,0.633,0.125,0.49,3.5,3.8,1.5,0.5,0.8,2.7,4.1,16.3,"Vin Baker-2002",8
"906","Dana Barros",2002,"PG",0.473,22.5,0.385,0.778,0.338,0.413,0.1,3.5,4.8,0.9,0.1,2,2.3,11.9,"Dana Barros-2002",2
"907","Brent Barry",2002,"SG",0.652,21.3,0.508,0.846,0.424,0.588,0.7,4.5,5,1.7,0.4,2,2.2,13.8,"Brent Barry-2002",4
"908","Jon Barry",2002,"SG",0.645,23.2,0.489,0.931,0.469,0.508,0.8,3.5,5,1.7,0.4,2,2.4,13.4,"Jon Barry-2002",4
"909","Mengke Bateer",2002,"C",0.469,8.9,0.402,0.784,0.333,0.408,2.8,5.6,1.9,0.9,0.4,2.8,8.3,12.3,"Mengke Bateer-2002",9
"910","Tony Battie",2002,"C",0.57,3.2,0.541,0.677,0,0.544,3.6,5.9,0.7,1.2,1.3,1,4.3,10.1,"Tony Battie-2002",7
"911","Shane Battier",2002,"SF",0.518,11.9,0.429,0.7,0.373,0.451,2.1,2.8,2.5,1.4,0.9,1.8,2.5,13.1,"Shane Battier-2002",6
"913","Raja Bell",2002,"SG",0.486,13.4,0.429,0.75,0.273,0.464,1.3,3.2,2.9,0.8,0.2,1.9,4.4,10.3,"Raja Bell-2002",3
"914","Jonathan Bender",2002,"SF",0.538,6.1,0.43,0.773,0.36,0.457,1.4,3.9,1.4,0.4,1.1,2.1,3.2,12.7,"Jonathan Bender-2002",9
"915","Travis Best",2002,"PG",0.511,31.3,0.44,0.897,0.356,0.451,0.4,2.7,6.7,1.8,0.1,2,3.6,12,"Travis Best-2002",2
