"","Player","Year","Pos","TS.","AST.","FG.","FT.","X3P.","X2P.","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","Player_year","randomPart_euclidean_12"
"45","Earl Boykins",2000,"PG",0.547,34.6,0.483,0.783,0.4,0.5,1.7,1.9,6.6,1.7,0.1,2.3,3.2,19,"Earl Boykins-2000",10
"46","Shawn Bradley",2000,"C",0.521,4.7,0.479,0.765,0.2,0.482,3,6.4,1.1,1.3,3.6,1.4,4.9,12.3,"Shawn Bradley-2000",7
"48","Elton Brand",2000,"PF",0.528,11.8,0.482,0.685,0,0.483,4.2,5.5,1.9,0.8,1.6,2.7,3.1,19.5,"Elton Brand-2000",12
"49","Terrell Brandon",2000,"PG",0.535,39.1,0.466,0.899,0.402,0.476,0.6,2.7,8.8,1.9,0.4,2.6,2.2,16.9,"Terrell Brandon-2000",10
"50","Chucky Brown",2000,"PF",0.476,9.9,0.451,0.692,0.2,0.459,1.1,4.3,2.2,0.7,0.6,1.5,3.7,11,"Chucky Brown-2000",3
"51","Dee Brown",2000,"PG",0.498,20.7,0.36,0.688,0.358,0.366,0.5,2.4,4.6,1.3,0.3,2.1,3.3,14.1,"Dee Brown-2000",5
"53","P.J. Brown",2000,"PF",0.516,10.3,0.48,0.755,0,0.481,3.4,6,2.3,1,1,1.6,4.1,11.9,"P.J. Brown-2000",8
"54","Randy Brown",2000,"PG",0.402,22.6,0.361,0.738,0.5,0.359,0.5,2.7,4.5,1.4,0.3,2.3,2.7,8.4,"Randy Brown-2000",5
"55","Rick Brunson",2000,"PG",0.456,26.9,0.414,0.611,0.154,0.474,0.4,3,6.1,1.1,0.1,3.9,4.4,8.8,"Rick Brunson-2000",5
"56","Kobe Bryant",2000,"SG",0.546,22.4,0.468,0.821,0.319,0.489,1.5,4.4,4.6,1.5,0.9,2.6,3.1,21.2,"Kobe Bryant-2000",4
"58","Greg Buckner",2000,"SG",0.527,8.6,0.476,0.683,0.385,0.488,2.2,4.6,2.1,1.5,0.8,1.4,5.8,10.7,"Greg Buckner-2000",9
"59","Jud Buechler",2000,"SF",0.409,7.3,0.353,0.286,0.217,0.507,1.6,3.3,1.8,1.4,0.9,0.7,2.7,7.1,"Jud Buechler-2000",1
